season,episode,character,line
S01,E01,Monica," My brother's going through that right now, he's such a mess. How did you get through it?"
S01,E01,Monica, -leg?
S01,E01,Monica," You actually broke her watch?  Wow!  The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel."
S01,E01,Monica, That's right. 
S01,E01,Rachel," Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju-  Hi, machine cut me off again... anyway...look, look, I know that some girl is going to be incredibly lucky to become Mrs. Barry Finkel, but it isn't me, it's not me.  And not that I have any idea who me is right now, but you just have to give me a chance too... "
S01,E01,Ross, I'm divorced!  I'm only 26 and I'm divorced!
S01,E01,Joey, Shut up!
S01,E01,Chandler, You must stop! 
S01,E01,Ross, That only took me an hour.
S01,E01,Chandler," Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento.   You, however have had the love of a woman for four years.   Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it!  I don't think that was my point!"
S01,E01,Ross," You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her..."
S01,E01,Joey," What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!"
S01,E01,Ross, I honestly don't know if I'm hungry or horny.
S01,E01,Chandler, Stay out of my freezer! 
S01,E01,Monica," What?..... What, you wanna spell it out with noodles?"
S01,E01,Monica," Oh, so there is gonna be a fifth date?"
S01,E01,Monica," Yeah... yeah, I think there is. -What were you gonna say?"
S01,E01,Monica,"  Oh God, oh God, I am sorry... I am so sorry..."
S01,E01,Monica, I know being spit on is probably not what you need right now. Um... how long?
S01,E01,Monica, Wow! I'm-I'm-I'm glad you smashed her watch!
S01,E01,Monica," ...Yeah. Yeah, I do."
S01,E01,Rachel, Oh...see... but Joanne loved Chachi! That's the difference!
S01,E01,Ross,"  Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?"
S01,E01,Joey," Great story!  But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea...  Oh man, "
S01,E01,Chandler," Angela's the screamer, Andrea has cats."
S01,E01,Joey, Right.  Thanks.  It's June.  I'm outta here. 
S01,E01,Ross," Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask? "
S01,E01,Rachel," Isn't this amazing? I mean, I have never made coffee before in my entire life."
S01,E01,Chandler, That is amazing.
S01,E01,Joey, Congratulations.
S01,E01,Rachel," Y'know, I figure if I can make coffee, there isn't anything I can't do."
S01,E01,Chandler," If can invade Poland, there isn't anything I can't do."
S01,E01,Joey," Listen, while you're on a roll, if you feel like you gotta make like a Western omelet or something...  Although actually I'm really not that hungry..."
S01,E01,Monica,"  Oh good, Lenny and Squigy are here."
S01,E01,Joey," Morning, Paul."
S01,E01,Rachel," Hello, Paul."
S01,E01,Chandler," Hi, Paul, is it?"
S01,E01,Monica, Stop!
S01,E01,Monica, We'll talk later.
S01,E01,Joey, That wasn't a real date?! What the hell do you do on a real date?
S01,E01,Monica," Shut up, and put my table back."
S01,E01,Chandler," All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference..."
S01,E01,Rachel," So, like, you guys all have jobs?"
S01,E01,Monica," Yeah, we all have jobs. See, that's how we buy stuff."
S01,E01,Joey," Yeah, I'm an actor."
S01,E01,Rachel, Wow! Would I have seen you in anything?
S01,E01,Joey, I doubt it. Mostly regional work.
S01,E01,Monica," Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theater in the park."
S01,E01,Joey," Look, it was a job all right?"
S01,E01,Chandler," 'Look, Gippetto, I'm a real live boy.'"
S01,E01,Joey, I will not take this abuse. 
S01,E01,Chandler," You're right, I'm sorry.  ""Once I was a wooden boy, a little wooden boy..."""
S01,E01,Joey," You should both know, that he's a dead man.  Oh, Chandler? "
S01,E01,Monica, So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling.
S01,E01,Rachel, I can see that. You look like you slept with a hanger in your mouth.
S01,E01,Monica," I know, he's just so, so... Do you remember you and Tony DeMarco?"
S01,E01,Rachel," Oh, yeah."
S01,E01,Monica," Well, it's like that. With feelings."
S01,E01,Rachel, Oh wow. Are you in trouble.
S01,E01,Monica, Big time!
S01,E01,Rachel, Want a wedding dress?   Hardly used.
S01,E01,Monica," I think we are getting a little ahead of selves here. Okay. Okay. I am just going to get up, go to work and not think about him all day. Or else I'm just gonna get up and go to work."
S01,E01,Rachel," Oh, look, wish me luck!"
S01,E01,Monica, What for?
S01,E01,Rachel, I'm gonna go get one of those  job things.
S01,E01,Monica," Hey Frannie, welcome back! How was Florida?"
S01,E01,Monica, How do you do that?
S01,E01,Monica, You know Paul?
S01,E01,Monica, You mean you know Paul like I know Paul?
S01,E01,Joey, Of course it was a line!
S01,E01,Monica," Why?! Why? Why, why would anybody do something like that?"
S01,E01,Ross, I assume we're looking for an answer more sophisticated than 'to get you into bed'.
S01,E01,Monica, I hate men!  I hate men!
S01,E01,Phoebe," Oh no, don't hate, you don't want to put that out into the universe."
S01,E01,Monica, Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?
S01,E01,Phoebe," All right, c'mere, gimme your feet. "
S01,E01,Monica," I just thought he was nice, y'know?"
S01,E01,Joey,  I can't believe you didn't know it was a line!
S01,E01,Rachel, Guess what?
S01,E01,Ross, You got a job?
S01,E01,Rachel, Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.
S01,E01,Chandler, And yet you're surprisingly upbeat.
S01,E01,Rachel," You would be too if you found John and David boots on sale, fifty percent off!"
S01,E01,Chandler," Oh, how well you know me..."
S01,E01,Rachel," They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots!"
S01,E01,Monica, How'd you pay for them?
S01,E01,Rachel," Uh, credit card."
S01,E01,Monica, And who pays for that?
S01,E01,Rachel, Um... my... father.
S01,E01,Rachel," Oh God, come on you guys, is this really necessary?  I mean, I can stop charging anytime I want."
S01,E01,Monica," C'mon, you can't live off your parents your whole life."
S01,E01,Rachel, I know that. That's why I was getting married.
S01,E01,Phoebe," Give her a break, it's hard being on your own for the first time."
S01,E01,Rachel, Thank you.
S01,E01,Phoebe," You're welcome. I remember when I first came to this city. I was fourteen. My mom had just killed herself and my step-dad was back in prison, and I got here, and I didn't know anybody. And I ended up living with this albino guy who was, like, cleaning windshields outside port authority, and then he killed himself, and then I found aromatherapy. So believe me, I know exactly how you feel."
S01,E01,Ross, The word you're looking for is 'Anyway'...
S01,E01,Monica," All right, you ready?"
S01,E01,Rachel," No.  No, no, I'm not ready!  How can I be ready?  ""Hey, Rach!  You ready to jump out the airplane without your parachute?""  Come on, I can't do this!"
S01,E01,Monica," You can, I know you can!"
S01,E01,Rachel, I don't think so.
S01,E01,Ross," Come on, you made coffee!   You can do anything! "
S01,E01,Ross," C'mon, cut. Cut, cut, cut,..."
S01,E01,Rachel, Y'know what?  I think we can just leave it at that.  It's kinda like a symbolic gesture...
S01,E01,Monica,  Rachel!  That was a library card!
S01,E01,Chandler,"  Y'know, if you listen closely, you can hear a thousand retailers scream."
S01,E01,Monica, Welcome to the real world! It sucks. You're gonna love it!
S01,E01,Monica," Well, that's it  You gonna crash on the couch?"
S01,E01,Ross," No. No, I gotta go home sometime."
S01,E01,Monica, You be okay?
S01,E01,Ross, Yeah.
S01,E01,Rachel," Hey Mon, look what I just found on the floor.  What?"
S01,E01,Monica," That's Paul's watch. You just put it back where you found it. Oh boy. Alright. Goodnight, everybody."
S01,E01,Rachel,Ross and  Goodnight.
S01,E01,Ross," Mmm.  Oh, no-"
S01,E01,Rachel, Sorry-
S01,E01,Ross," No no no, go-"
S01,E01,Rachel," No, you have it, really, I don't want it-"
S01,E01,Ross, Split it?
S01,E01,Rachel, Okay.
S01,E01,Ross," Okay.  You know you probably didn't know this, but back in high school, I had a, um, major crush on you."
S01,E01,Rachel, I knew.
S01,E01,Ross, You did! Oh.... I always figured you just thought I was Monica's geeky older brother.
S01,E01,Rachel, I did.
S01,E01,Ross," Oh. Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if I asked you out? Sometime? Maybe?"
S01,E01,Rachel," Yeah, maybe..."
S01,E01,Ross," Okay... okay, maybe I will..."
S01,E01,Rachel, Goodnight.
S01,E01,Ross, Goodnight.
S01,E01,Monica," See ya.... Waitwait, what's with you?"
S01,E01,Ross, I just grabbed a spoon. 
S01,E01,Joey, I can't believe what I'm hearing here.
S01,E01,Phoebe,  I can't believe what I'm hearing here...
S01,E01,Monica, What? I-I said you had a-
S01,E01,Phoebe,  What I said you had...
S01,E01,Monica,  Would you stop?
S01,E01,Phoebe," Oh, was I doing it again?"
S01,E01,Monica," I said that you had a nice butt, it's just not a great butt."
S01,E01,Joey," Oh, you wouldn't know a great butt if it came up and bit ya."
S01,E01,Ross, There's an image.
S01,E01,Rachel,  Would anybody like more coffee?
S01,E01,Chandler," Did you make it, or are you just serving it?"
S01,E01,Rachel, I'm just serving it.
S01,E01,Chandler," Kids, new dream... I'm in Las Vegas. "
S01,E01,Rachel," Ugh.  Excuse me, could you give this to that guy over there?  Go ahead.  Thank you.  Sorry.  Okay, Las Vegas."
S01,E01,Chandler," Okay, so, I'm in Las Vegas... I'm Liza Minelli-"
S01,E02,Monica," What you guys don't understand is, for us, kissing is as important as any part of it."
S01,E02,Joey," Yeah, right!.......Y'serious?"
S01,E02,Phoebe," Oh, yeah!"
S01,E02,Rachel, Everything you need to know is in that first kiss.
S01,E02,Monica, Absolutely.
S01,E02,Chandler," Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out."
S01,E02,Ross," Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket."
S01,E02,Chandler," The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake."
S01,E02,Rachel," Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone."
S01,E02,Joey, ....Are we still talking about sex?
S01,E02,Ross," No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?"
S01,E02,Ross, Does she.
S01,E02,Ross," Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?"
S01,E02,Ross,  No. No.
S01,E02,Ross," Okay, okay, yes, it is.  How about I'll, uh, catch up with you in the Ice Age."
S01,E02,Ross,Hi.
S01,E02,Ross," You look great. I, uh... I hate that."
S01,E02,Ross," Ah, well, in here, anyone who... stands erect... So what's new? Still, uh..."
S01,E02,Ross," Well... you never know. How's, um.. how's the family?"
S01,E02,Ross," Why- why are you here, Carol?"
S01,E02,Ross, Pregnant?!
S01,E02,Chandler," Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding."
S01,E02,Phoebe,...Then I've already seen this one! 
S01,E02,Monica,  Are you through with that?
S01,E02,Joey," Yeah, sorry, the swallowing slowed me down."
S01,E02,Monica, Whose little ball of paper is this?!
S01,E02,Chandler," Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and...  ...now I wish I was dead."
S01,E02,Phoebe," She's already fluffed that pillow... Monica, you know, you've already fluffed that-  -but, it's fine!"
S01,E02,Monica," Look , I'm sorry, guys, I just don't wanna give them any more ammunition than they already have."
S01,E02,Chandler," Yes, and we all know how cruel a parent can be about the flatness of a child's pillow."
S01,E02,Phoebe," Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you're like all chaotic and twirly. And not-not in a good way."
S01,E02,Joey," Yeah, calm down. You don't see Ross getting all chaotic and twirly every time they come."
S01,E02,Monica," That's because as far as my parents are concerned, Ross can do no wrong. Y'see, he's the Prince. Apparently they had some big ceremony before I was born."
S01,E02,Chandler,"  Ew, ew, ew, ew ew ew ew ew!"
S01,E02,Monica, What?
S01,E02,Chandler, Ugly Naked Guy got a Thighmaster!
S01,E02,Rachel, Has anybody seen my engagement ring?
S01,E02,Phoebe," Yeah, it's beautiful."
S01,E02,Rachel," Oh God, oh God, oh God oh God oh God oh God.... "
S01,E02,Phoebe," No, look, don't touch that!"
S01,E02,Rachel," Oh, like I wasn't dreading tomorrow enough, having to give it back to him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in front of your entire family!' Oh God and now I'm gonna have to return the ring, without the ring, which makes it so much harder..."
S01,E02,Monica," Easy Rach, we'll find it.  Won't we!"
S01,E02,Joey,Chandler and  Oh! Yeah!
S01,E02,Joey," Alright, when'd'ya have it on last?"
S01,E02,Phoebe, Doy! Probably right before she lost it!
S01,E02,Chandler, You don't get a lot of 'doy' these days...
S01,E02,Rachel," I know I had it this morning, and I know I had it when I was in the kitchen with..."
S01,E02,Chandler, ...Dinah?
S01,E02,Rachel,"  Ohhhhh, don't be mad..."
S01,E02,Monica, You didn't.
S01,E02,Rachel," Oh, I am sorry..."
S01,E02,Monica, I gave you one job! 
S01,E02,Rachel," Oh, but look how straight those noodles are!"
S01,E02,Chandler," Now, Monica, you know that's not how you look for an engagement ring in a lasagne..."
S01,E02,Monica,  I just... can't do it.
S01,E02,Chandler, Boys? We're going in.
S01,E02,Ross, .....Hi.
S01,E02,Monica, Wow. That is not a happy hi.
S01,E02,Ross, Carol's pregnant.
S01,E02,Phoebe,  Ooh! I found it!
S01,E02,Monica, W-w-wh-... wha-... w-w-w-...
S01,E02,Ross," Yeah. Do that for another two hours, you might be where I am right about now. "
S01,E02,Chandler," Kinda puts that whole pillow thing in perspective, huh, Mon?"
S01,E02,Rachel," Well now, how-how do you fit into this whole thing?"
S01,E02,Ross," Well, Carol says she and Susan want me to be involved, but if I'm not comfortable with it, I don't have to be involved.. basically it's entirely up to me."
S01,E02,Phoebe, She is so great! I miss her.
S01,E02,Monica, What does she mean by 'involved'?
S01,E02,Chandler," I mean presumably, the biggest part of your job is done."
S01,E02,Ross," Anyway, they want me to go down to this- sonogram thing with them tomorrow."
S01,E02,Rachel, So what are you gonna do?
S01,E02,Ross," I have no idea. No matter what I do, though, I'm still gonna be a father."
S01,E02,Joey," .....Well, this is still ruined, right?"
S01,E02,Monica, Curry.
S01,E02,Ross," I- I think they're great! I, I really do."
S01,E02,Ross," Aw, Mom..."
S01,E02,Monica," I'm sorry, why is this girl going to call me?"
S01,E02,Monica," No Mom, I don't have a restaurant, I work in a restaurant."
S01,E02,Monica," Ross, could you come and help me with the spaghetti, please?"
S01,E02,Ross, Yeah. 
S01,E02,Monica," I know this is going to sound unbelievably selfish, but, were you planning on bringing up the whole baby/lesbian thing? Because I think it might take some of the heat off me."
S01,E02,Monica, What's that supposed to mean?
S01,E02,Monica, No it's not.
S01,E02,Monica,"  So, Ross, what's going on with you? Any stories?  No news, no little anecdotes to share with the folks?"
S01,E02,Ross,"  Okay! Okay.  Look, I, uh- I realise you guys have been wondering what exactly happened between Carol and me, and, so, well, here's the deal. Carol's a lesbian. She's living with a woman named Susan. She's pregnant with my child, and she and Susan are going to raise the baby."
S01,E02,Joey," Your folks are really that bad, huh?"
S01,E02,Ross," Well, y'know, these people are pros. They know what they're doing, they take their time, they get the job done."
S01,E02,Monica," Boy, I know they say you can't change your parents,... boy, if you could-  -I'd want yours."
S01,E02,Ross, Must pee. 
S01,E02,Phoebe," Y'know, it's even worse when you're twins."
S01,E02,Rachel, You're twins?
S01,E02,Phoebe," Yeah. We don't speak. She's like this high-powered, driven career type."
S01,E02,Chandler, What does she do?
S01,E02,Phoebe, She's a waitress.
S01,E02,Rachel," All right, you guys, I kinda gotta clean up now. "
S01,E02,Monica," Chandler, you're an only child, right? You don't have any of this."
S01,E02,Chandler," Well, no, although I did have an imaginary friend, who... my parents actually preferred."
S01,E02,Rachel," The lights, please.."
S01,E02,Ross, ...How long was I in there?
S01,E02,Rachel, I'm just cleaning up.
S01,E02,Ross, D'ya.. uh.. d'ya need any help?
S01,E02,Rachel," Uh.. okay, sure! Thanks! "
S01,E02,Ross," Anyway.. um..  So, you- uh- you nervous about Barry tomorrow?"
S01,E02,Rachel, Oh.. a little..
S01,E02,Ross, Mm-hmm..
S01,E02,Rachel, A lot.
S01,E02,Ross, Mm.
S01,E02,Rachel," So, got any advice? Y'know, as someone who's recently been- dumped?"
S01,E02,Ross," Well, you may wanna steer clear of the word 'dumped'. Chances are he's gonna be this, this broken shell of a man, y'know, so you should try not to look too terrific, I know it'll be hard. Or, y'know, uh, hey!, I'll go down there, and I'll give Barry back his ring, and you can go with Carol and Susan to the OB/GYN..."
S01,E02,Rachel," Oh, you've got Carol tomorrow.. When did it get so complicated?"
S01,E02,Ross, Got me.
S01,E02,Rachel, Remember when we were in high school together?
S01,E02,Ross, Yeah.
S01,E02,Rachel," I mean, didn't you think you were just gonna meet somone, fall in love- and that'd be it?  ..Ross?"
S01,E02,Ross," Yes, yes!"
S01,E02,Rachel," Oh! Man, I never thought I'd be here.. "
S01,E02,Ross, Me either... 
S01,E02,Ross,"  Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway."
S01,E02,Ross, How could I forget?
S01,E02,Ross,"  Hello, Susan.  Good shake. Good shake. So, uh, we're just waiting for...?"
S01,E02,Ross, ..Dr. Oberman. Okay. And is he-
S01,E02,Ross," -she, of course, she- uh- familiar with our.. special situation?"
S01,E02,Ross," Okay, that's great.  No, I'm- Oh."
S01,E02,Ross,"  Quack, quack.."
S01,E02,Rachel, Barry?
S01,E02,Rachel,  Are you sure?
S01,E02,Rachel, I'm- uh- I'm okay... You look great!
S01,E02,Rachel, I dumped him.
S01,E02,Ross," So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?"
S01,E02,Ross," Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?"
S01,E02,Ross, Marlon?!
S01,E02,Ross, ...As in Mouse?
S01,E02,Ross," Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?"
S01,E02,Ross," 'S'funny, um, uh, we agreed we'd spend the rest of our lives together. Things change, roll with the punches. I believe Julia's on the table..?"
S01,E02,Rachel," Oh, not much. I-I got a job."
S01,E02,Rachel, Why are- why are you so tanned?
S01,E02,Rachel, Oh no. You went on our honeymoon alone?
S01,E02,Rachel," Mindy?! My maid of honour, Mindy?!"
S01,E02,Rachel," Oh! Well, um..  You've got plugs!"
S01,E02,Rachel, And you've got lenses! But you hate sticking your finger in your eye!
S01,E02,Rachel, Okay..
S01,E02,Rachel, Wow.
S01,E02,Rachel, What?
S01,E02,Rachel," Anyway, um,  I guess this belongs to you. And thank you for giving it to me."
S01,E02,Ross, Helen Geller? I don't think so.
S01,E02,Ross, Thank you!
